Invoice No.,Stock Code,Quantity,Invoice Date,Invoice Time,Unit Price,Stream
6000,BV-TEA-027,1,2024-02-01,13:35,20,STME
6002,MG-PLM-033,1,2024-02-01,09:03,35,SOL
6003,SN-CBT-024,1,2024-02-01,12:54,100,STME
6012,BV-CFE-028,1,2024-02-01,13:13,25,SOL
6016,FV-FMJ-009,1,2024-02-01,16:50,100,STME
6020,FV-WMJ-011,1,2024-02-01,10:49,65,STME
6024,SN-CPB-023,1,2024-02-01,10:38,95,SOL
6032,BV-HCH-016,1,2024-02-01,15:42,50,STME
6036,FV-PPJ-010,1,2024-02-01,11:23,65,STME
6046,WR-VWP-030,1,2024-02-01,16:46,50,STME
6054,FV-WMJ-011,1,2024-02-01,14:44,65,STME
6056,SN-TDM-008,1,2024-02-01,16:12,100,STME
6060,SN-BPB-022,1,2024-02-01,15:17,80,STME
6070,BR-GRN-007,1,2024-02-01,11:16,60,SOL
6072,SN-TDM-008,1,2024-02-01,09:38,100,SOC
6082,BR-AKC-002,1,2024-02-01,13:19,100,SOL
6090,SN-HCL-038,1,2024-02-01,11:21,85,STME
6097,MG-POM-035,1,2024-02-01,12:32,45,STME
6098,BR-LPN-005,1,2024-02-01,09:30,60,STME
6106,SN-PBJ-021,1,2024-02-01,10:11,75,STME
6116,BV-BLC-029,1,2024-02-01,13:29,30,SOC
6121,SN-TDM-008,1,2024-02-01,09:24,100,STME
6129,SN-ATK-025,1,2024-02-01,12:02,60,STME
6137,BV-HCH-016,1,2024-02-01,15:56,50,STME
6141,BR-BTN-006,1,2024-02-01,15:06,60,STME
6145,MG-POM-035,1,2024-02-01,11:54,45,SOC
6152,SN-ATK-025,1,2024-02-01,16:14,60,SOL
6159,BV-MLK-020,1,2024-02-01,11:39,65,SOL
6167,MG-PLM-033,2,2024-02-01,12:48,35,SOC
6175,WR-CPW-031,3,2024-02-01,09:55,75,STME
6184,BV-BSK-017,1,2024-02-01,11:16,50,STME
6192,BV-BSK-017,1,2024-02-01,12:57,50,SOL
6197,WR-VWP-030,1,2024-02-01,16:18,50,SOL
6207,SN-MDS-039,1,2024-02-01,16:05,50,SOC
6215,BR-GRN-007,1,2024-02-01,12:22,60,SOC
6221,FV-WMJ-011,1,2024-02-01,10:51,65,SOL
6225,BV-HCH-016,2,2024-02-01,12:41,50,SOL
6227,WR-CPW-031,2,2024-02-01,14:55,75,SOC
6229,SN-MDS-039,1,2024-02-01,11:17,50,STME
6234,BV-CCF-014,1,2024-02-01,13:49,85,STME
6239,BR-GRN-007,1,2024-02-01,13:29,60,STME
6247,SN-CBT-024,1,2024-02-01,10:49,100,STME
6250,BV-CSK-015,1,2024-02-01,13:55,85,SOL
6256,BR-MKC-003,1,2024-02-01,15:44,120,SOL
6266,FV-WMJ-011,1,2024-02-01,12:20,65,SOC
6274,SN-SCT-026,1,2024-02-01,15:02,60,SOC
6284,BV-MSK-019,1,2024-02-01,09:51,60,STME
6289,BV-CFE-028,1,2024-02-01,09:03,25,SOL
6295,SN-BPB-022,1,2024-02-01,15:07,80,SOL
6300,BV-MLK-020,1,2024-02-01,09:39,65,STME
6302,SN-HCL-038,1,2024-02-01,14:42,85,STME
6307,SN-VPV-037,1,2024-02-01,16:51,40,STME
6309,SN-SCT-026,2,2024-02-01,09:19,60,STME
6311,SN-ATK-025,1,2024-02-01,11:55,60,SOL
6321,SN-BPB-022,1,2024-02-01,14:23,80,SOL
6324,MG-PLM-033,1,2024-02-01,11:25,35,STME
6329,BR-PLN-004,1,2024-02-01,14:30,40,SOL
6330,BR-AKC-002,1,2024-02-01,13:36,100,SOL
6340,SN-HCL-038,2,2024-02-01,09:13,85,STME
6348,FV-FLJ-012,1,2024-02-01,10:11,65,STME
6351,WR-VWP-030,2,2024-02-01,11:45,50,SOL
6352,BV-MSK-019,2,2024-02-01,14:59,60,SOC
6358,BR-LPN-005,1,2024-02-01,11:05,60,STME
6366,BR-AKC-002,2,2024-02-01,16:43,100,SOC
6376,BV-BSK-017,1,2024-02-01,16:42,50,SOC
6383,BV-CSK-015,1,2024-02-01,11:55,85,STME
6388,MG-POM-035,1,2024-02-01,15:36,45,SOL
6397,SN-MDS-039,1,2024-02-01,15:35,50,STME
6404,MG-PLM-033,2,2024-02-01,11:13,35,SOL
6409,SN-CPB-023,1,2024-02-01,14:23,95,SOL
6411,FV-FMJ-009,1,2024-02-01,11:34,100,SOC
6415,SN-HCL-038,1,2024-02-01,09:11,85,STME
6423,BR-BTN-006,1,2024-02-01,09:11,60,SOC
6425,MG-MOM-036,1,2024-02-01,15:49,55,STME
6434,BR-BTN-006,1,2024-02-01,12:48,60,SOC
6436,SN-SCT-026,1,2024-02-01,10:19,60,SOC
6444,BR-PKC-001,1,2024-02-01,13:40,100,STME
6447,WR-EGW-032,3,2024-02-01,09:32,100,SOC
6457,BR-BTN-006,1,2024-02-01,10:01,60,STME
6467,BV-CFE-028,1,2024-02-01,14:47,25,SOC
6473,MG-PLM-033,1,2024-02-01,12:24,35,STME
6478,BV-HCH-016,1,2024-02-01,11:59,50,STME
6483,MG-MOM-036,1,2024-02-01,12:18,55,STME
6487,BR-LPN-005,1,2024-02-01,10:03,60,STME
6489,SN-ATK-025,1,2024-02-01,10:16,60,STME
6497,SN-VPV-037,1,2024-02-01,11:04,40,SOL
6502,SN-CPB-023,1,2024-02-01,09:07,95,SOL
6508,SN-PBJ-021,3,2024-02-01,12:15,75,SOL
6511,SN-PBJ-021,1,2024-02-01,15:29,75,STME
6518,BV-CFE-028,1,2024-02-01,11:15,25,STME
6521,BV-CSK-015,1,2024-02-01,13:05,85,STME
6530,BV-BLC-029,1,2024-02-01,14:47,30,STME
6533,SN-VPV-037,3,2024-02-01,11:45,40,STME
6542,MG-POM-035,1,2024-02-01,10:59,45,STME
6551,FV-FMJ-009,1,2024-02-01,16:09,100,SOC
6561,SN-HCL-038,2,2024-02-01,15:35,85,SOC
6566,MG-MOM-036,1,2024-02-01,09:51,55,SOC
6572,SN-BPB-022,1,2024-02-01,11:33,80,SOL
6576,SN-CBT-024,2,2024-02-01,12:27,100,SOC
6577,SN-CBT-024,2,2024-02-01,11:52,100,STME
6584,BV-HCH-016,1,2024-02-01,11:53,50,SOL
6587,SN-BPB-022,1,2024-02-01,11:58,80,SOL
6594,BV-BSK-017,1,2024-02-01,16:06,50,SOC
6598,BV-CSK-015,1,2024-02-01,12:37,85,SOL
6606,BV-SSK-018,1,2024-02-01,16:51,65,SOL
6614,SN-TDM-008,1,2024-02-01,09:08,100,SOL
6619,SN-CPB-023,1,2024-02-01,10:35,95,STME
6621,MG-POM-035,1,2024-02-01,11:36,45,SOL
6623,SN-SCT-026,2,2024-02-01,13:40,60,STME
6633,FV-FMJ-009,1,2024-02-01,13:27,100,STME
6636,SN-CBT-024,1,2024-02-01,12:08,100,STME
6638,BV-MSK-019,1,2024-02-01,16:51,60,STME
6646,SN-CPB-023,1,2024-02-01,16:26,95,SOC
6651,MG-MOM-036,1,2024-02-01,10:33,55,STME
6654,BR-PLN-004,1,2024-02-01,13:22,40,STME
6655,SN-BPB-022,2,2024-02-01,11:04,80,STME
6661,SN-CBT-024,1,2024-02-01,14:06,100,STME
6666,FV-WMJ-011,1,2024-02-01,09:42,65,STME
6675,SN-MDS-039,3,2024-02-01,09:40,50,SOL
6683,BV-BSK-017,1,2024-02-01,10:38,50,SOL
6686,FV-MMJ-013,1,2024-02-01,13:23,75,SOL
6688,SN-PBJ-021,1,2024-02-01,16:04,75,STME
6689,BV-HCH-016,1,2024-02-01,11:26,50,STME
6693,BR-BTN-006,1,2024-02-01,16:35,60,SOC
6701,BV-CFE-028,1,2024-02-01,13:52,25,SOL
6710,BV-SSK-018,1,2024-02-01,10:14,65,SOC
6718,BV-CFE-028,1,2024-02-01,09:55,25,STME
6721,SN-PBJ-021,1,2024-02-01,12:52,75,STME
6731,BR-MKC-003,1,2024-02-01,16:51,120,STME
6740,FV-MMJ-013,2,2024-02-01,12:37,75,SOL
6744,WR-VWP-030,1,2024-02-01,14:08,50,SOL
6752,FV-WMJ-011,1,2024-02-01,11:38,65,SOC
6757,MG-MOM-036,2,2024-02-01,11:59,55,STME
6765,BR-BTN-006,1,2024-02-01,09:34,60,SOC
6771,BR-GRN-007,1,2024-02-01,12:41,60,SOC
6778,SN-MDS-039,1,2024-02-01,15:06,50,STME
6780,SN-SCT-026,1,2024-02-01,11:54,60,SOC
6787,SN-MDS-039,1,2024-02-01,16:46,50,STME
6794,BV-TEA-027,2,2024-02-01,17:00,20,SOC
6803,SN-HCL-038,1,2024-02-01,13:59,85,STME
6811,SN-MDS-039,1,2024-02-01,11:39,50,STME
6815,BV-MSK-019,1,2024-02-01,10:49,60,STME
6824,BR-PKC-001,1,2024-02-01,09:34,100,SOL
6832,BR-PKC-001,1,2024-02-01,14:40,100,STME
6837,BR-AKC-002,1,2024-02-01,16:41,100,STME
6839,BV-CFE-028,1,2024-02-01,16:35,25,SOC
6847,SN-PBJ-021,1,2024-02-01,13:34,75,SOL
6851,SN-BPB-022,1,2024-02-01,14:22,80,SOL
6858,SN-HCL-038,1,2024-02-01,15:35,85,SOL
6868,WR-VWP-030,1,2024-02-01,09:16,50,SOC
6870,SN-CBT-024,1,2024-02-01,13:16,100,STME
6876,BR-AKC-002,1,2024-02-01,13:06,100,SOL
6884,SN-VPV-037,1,2024-02-01,10:33,40,SOL
6889,BV-BSK-017,1,2024-02-01,11:07,50,STME
6899,BR-PKC-001,1,2024-02-01,09:58,100,STME
6905,BR-PKC-001,1,2024-02-01,16:22,100,SOL
6908,SN-HCL-038,1,2024-02-01,10:46,85,SOL
6912,BR-PLN-004,1,2024-02-01,11:57,40,SOC
6921,FV-PPJ-010,1,2024-02-01,13:01,65,STME
6925,BR-BTN-006,1,2024-02-01,10:56,60,STME
6933,MG-MOM-036,1,2024-02-01,15:26,55,SOL
6941,SN-ATK-025,1,2024-02-01,16:26,60,SOL
6947,BR-MKC-003,1,2024-02-01,09:29,120,STME
6954,BR-PKC-001,1,2024-02-01,14:11,100,STME
6962,BV-MSK-019,1,2024-02-01,13:17,60,SOL
6966,BV-CCF-014,1,2024-02-01,09:10,85,SOC
6975,SN-CPB-023,1,2024-02-01,13:31,95,SOC
6980,BV-TEA-027,1,2024-02-01,12:20,20,SOL
6989,FV-PPJ-010,1,2024-02-01,14:05,65,STME
6995,BV-CFE-028,1,2024-02-01,16:51,25,STME
6999,BV-HCH-016,1,2024-02-01,11:10,50,SOL
7000,FV-FMJ-009,1,2024-02-01,12:43,100,SOL
7007,SN-TDM-008,1,2024-02-01,16:36,100,STME
7012,SN-MDS-039,1,2024-02-01,13:43,50,STME
7021,WR-CPW-031,1,2024-02-01,13:39,75,STME
7029,BR-GRN-007,1,2024-02-01,10:33,60,SOL
7039,SN-CBT-024,3,2024-02-01,09:55,100,SOL
7049,SN-BPB-022,1,2024-02-01,13:46,80,STME
7058,BV-TEA-027,1,2024-02-01,12:34,20,STME
7066,BV-HCH-016,1,2024-02-01,16:26,50,SOL
7075,SN-VPV-037,1,2024-02-01,14:02,40,SOC
7085,MG-PLM-033,1,2024-02-01,12:19,35,STME
7093,MG-MOM-036,1,2024-02-01,13:53,55,SOL
