Invoice No.,Stock Code,Quantity,Invoice Date,Invoice Time,Unit Price,Stream
5000,BR-PLN-004,5,1/1/2024,12:58,40,STME
5001,MG-PLM-033,1,1/1/2024,16:44,35,STME
5002,BR-GRN-007,3,1/1/2024,9:46,60,STME
5003,SN-MDS-039,2,1/1/2024,14:10,50,SOC
5004,BV-CFE-028,3,1/1/2024,10:51,25,SOC
5005,BR-LPN-005,3,1/1/2024,9:27,60,SOL
5006,SN-MDS-039,2,1/1/2024,11:00,50,SOL
5007,FV-MMJ-013,1,1/1/2024,16:53,75,SOL
5008,MG-MOM-036,5,1/1/2024,12:40,55,SOC
5009,FV-FMJ-009,1,1/1/2024,10:25,100,SOC
5010,MG-PLM-033,5,1/1/2024,16:33,35,SOC
5011,BV-SSK-018,3,1/1/2024,11:37,65,SOL
5012,SN-ATK-025,1,1/1/2024,10:19,60,STME
5013,BR-PLN-004,4,1/1/2024,15:51,40,SOL
5014,BV-CSK-015,3,1/1/2024,12:47,85,SOC
5015,BV-MLK-020,3,1/1/2024,15:44,65,SOC
5016,BV-CFE-028,4,1/1/2024,12:31,25,SOC
5017,FV-FMJ-009,2,1/1/2024,11:58,100,STME
5018,SN-ATK-025,3,1/1/2024,12:36,60,SOL
5019,BV-BLC-029,4,1/1/2024,14:40,30,SOL
5020,SN-PBJ-021,5,1/1/2024,13:36,75,STME
5021,SN-MDS-039,1,1/1/2024,11:19,50,SOL
5022,BV-CFE-028,2,1/1/2024,16:12,25,SOC
5023,WR-CPW-031,2,1/1/2024,9:32,75,STME
5024,WR-CPW-031,2,1/1/2024,15:11,75,STME
5025,SN-VPV-037,5,1/1/2024,15:44,40,SOL
5026,BR-MKC-003,4,1/1/2024,9:49,120,STME
5027,SN-CBT-024,5,1/1/2024,14:59,100,SOC
5028,BV-BSK-017,4,1/1/2024,11:36,50,SOL
5029,FV-FLJ-012,2,1/1/2024,12:31,65,SOC
5030,SN-VPV-037,1,1/1/2024,9:28,40,SOC
5031,BV-CCF-014,2,1/1/2024,10:32,85,STME
5032,BR-LPN-005,5,1/1/2024,9:25,60,STME
5033,WR-CPW-031,3,1/1/2024,16:35,75,SOC
5034,BR-GRN-007,3,1/1/2024,12:31,60,SOC
5035,BV-HCH-016,1,1/1/2024,12:57,50,STME
5036,FV-MMJ-013,2,1/1/2024,11:15,75,STME
5037,WR-EGW-032,2,1/1/2024,9:42,100,SOC
5038,SN-CPB-023,2,1/1/2024,12:10,95,STME
5039,BV-BSK-017,5,1/1/2024,9:41,50,SOC
5040,BV-CFE-028,2,1/1/2024,9:26,25,STME
5041,FV-WMJ-011,2,1/1/2024,16:50,65,SOC
5042,BV-CCF-014,5,1/1/2024,14:22,85,STME
5043,SN-MDS-039,1,1/1/2024,9:16,50,SOC
5044,FV-FLJ-012,2,1/1/2024,13:21,65,SOC
5045,SN-CPB-023,4,1/1/2024,13:10,95,SOL
5046,SN-VPV-037,1,1/1/2024,14:32,40,STME
5047,SN-ATK-025,4,1/1/2024,10:00,60,SOC
5048,BV-HCH-016,2,1/1/2024,16:36,50,SOL
5049,BV-BLC-029,5,1/1/2024,11:54,30,STME
5050,BV-MSK-019,4,1/1/2024,11:30,60,SOC
5051,BV-BSK-017,4,1/1/2024,11:49,50,STME
5052,BV-HCH-016,2,1/1/2024,12:25,50,SOL
