Invoice No.,Stock Code,Quantity,Invoice Date,Invoice Time,Unit Price,Stream
5000,BR-PLN-004,5,01/01/2024,12:58,40,STME
5001,MG-PLM-033,1,01/01/2024,16:44,35,STME
5002,BR-GRN-007,3,01/01/2024,09:46,60,STME
5003,SN-MDS-039,2,01/01/2024,14:10,50,SOC
5004,BV-CFE-028,3,01/01/2024,10:51,25,SOC
5005,BR-LPN-005,3,01/01/2024,09:27,60,SOL
5006,SN-MDS-039,2,01/01/2024,11:00,50,SOL
5007,FV-MMJ-013,1,01/01/2024,16:53,75,SOL
5008,MG-MOM-036,5,01/01/2024,12:40,55,SOC
5009,FV-FMJ-009,1,01/01/2024,10:25,100,SOC
5010,MG-PLM-033,5,01/01/2024,16:33,35,SOC
5011,BV-SSK-018,3,01/01/2024,11:37,65,SOL
5012,SN-ATK-025,1,01/01/2024,10:19,60,STME
5013,BR-PLN-004,4,01/01/2024,15:51,40,SOL
5014,BV-CSK-015,3,01/01/2024,12:47,85,SOC
5015,BV-MLK-020,3,01/01/2024,15:44,65,SOC
5016,BV-CFE-028,4,01/01/2024,12:31,25,SOC
5017,FV-FMJ-009,2,01/01/2024,11:58,100,STME
5018,SN-ATK-025,3,01/01/2024,12:36,60,SOL
5019,BV-BLC-029,4,01/01/2024,14:40,30,SOL
5020,SN-PBJ-021,5,01/01/2024,13:36,75,STME
5021,SN-MDS-039,1,01/01/2024,11:19,50,SOL
5022,BV-CFE-028,2,01/01/2024,16:12,25,SOC
5023,WR-CPW-031,2,01/01/2024,09:32,75,STME
5024,WR-CPW-031,2,01/01/2024,15:11,75,STME
5025,SN-VPV-037,5,01/01/2024,15:44,40,SOL
5026,BR-MKC-003,4,01/01/2024,09:49,120,STME
5027,SN-CBT-024,5,01/01/2024,14:59,100,SOC
5028,BV-BSK-017,4,01/01/2024,11:36,50,SOL
5029,FV-FLJ-012,2,01/01/2024,12:31,65,SOC
5030,SN-VPV-037,1,01/01/2024,09:28,40,SOC
5031,BV-CCF-014,2,01/01/2024,10:32,85,STME
5032,BR-LPN-005,5,01/01/2024,09:25,60,STME
5033,WR-CPW-031,3,01/01/2024,16:35,75,SOC
5034,BR-GRN-007,3,01/01/2024,12:31,60,SOC
5035,BV-HCH-016,1,01/01/2024,12:57,50,STME
5036,FV-MMJ-013,2,01/01/2024,11:15,75,STME
5037,WR-EGW-032,2,01/01/2024,09:42,100,SOC
5038,SN-CPB-023,2,01/01/2024,12:10,95,STME
5039,BV-BSK-017,5,01/01/2024,09:41,50,SOC
5040,BV-CFE-028,2,01/01/2024,09:26,25,STME
5041,FV-WMJ-011,2,01/01/2024,16:50,65,SOC
5042,BV-CCF-014,5,01/01/2024,14:22,85,STME
5043,SN-MDS-039,1,01/01/2024,09:16,50,SOC
5044,FV-FLJ-012,2,01/01/2024,13:21,65,SOC
5045,SN-CPB-023,4,01/01/2024,13:10,95,SOL
5046,SN-VPV-037,1,01/01/2024,14:32,40,STME
5047,SN-ATK-025,4,01/01/2024,10:00,60,SOC
5048,BV-HCH-016,2,01/01/2024,16:36,50,SOL
5049,BV-BLC-029,5,01/01/2024,11:54,30,STME
5050,BV-MSK-019,4,01/01/2024,11:30,60,SOC
5051,BV-BSK-017,4,01/01/2024,11:49,50,STME
5052,BV-HCH-016,2,01/01/2024,12:25,50,SOL
5053,BV-TEA-027,3,01/01/2024,13:41,20,SOL
5054,SN-BPB-022,4,01/01/2024,13:06,80,STME
5055,MG-CHM-034,2,01/01/2024,16:38,55,SOL
5056,SN-PBJ-021,3,01/01/2024,16:02,75,SOL
5057,BR-BTN-006,5,01/01/2024,09:09,60,STME
5058,BV-CFE-028,5,01/01/2024,10:35,25,SOC
5059,BR-AKC-002,1,01/01/2024,14:30,100,SOL
5060,MG-MOM-036,1,01/01/2024,15:22,55,SOL
5061,BR-BTN-006,2,01/01/2024,12:38,60,SOL
5062,BV-SSK-018,3,01/01/2024,11:26,65,SOC
5063,BR-AKC-002,1,01/01/2024,10:18,100,STME
5064,SN-SCT-026,4,01/01/2024,16:05,60,SOC
5065,SN-PBJ-021,2,01/01/2024,11:37,75,SOC
5066,MG-PLM-033,1,01/01/2024,10:20,35,SOL
5067,SN-ATK-025,1,01/01/2024,14:23,60,SOC
5068,BV-MSK-019,5,01/01/2024,13:46,60,STME
5069,WR-EGW-032,5,01/01/2024,10:34,100,SOC
5070,FV-FLJ-012,2,01/01/2024,10:44,65,STME
5071,SN-ATK-025,3,01/01/2024,12:03,60,SOC
5072,SN-CBT-024,2,01/01/2024,12:44,100,SOC
5073,BV-CFE-028,2,01/01/2024,11:22,25,STME
5074,FV-FMJ-009,3,01/01/2024,10:56,100,STME
5075,BR-MKC-003,3,01/01/2024,12:32,120,STME
5076,BV-HCH-016,5,01/01/2024,11:36,50,SOL
5077,SN-PBJ-021,1,01/01/2024,15:55,75,SOL
5078,FV-FMJ-009,3,01/01/2024,14:02,100,STME
5079,FV-FLJ-012,4,01/01/2024,15:48,65,SOC
5080,SN-VPV-037,5,01/01/2024,09:41,40,SOC
5081,SN-HCL-038,4,01/01/2024,14:51,85,STME
5082,BV-CSK-015,2,01/01/2024,16:18,85,SOL
5083,SN-ATK-025,4,01/01/2024,16:27,60,SOL
5084,SN-VPV-037,4,01/01/2024,12:09,40,STME
5085,SN-VPV-037,2,01/01/2024,14:42,40,STME
5086,SN-TDM-008,3,01/01/2024,11:29,100,SOL
5087,FV-MMJ-013,4,01/01/2024,15:23,75,SOL
5088,SN-MDS-039,5,01/01/2024,16:03,50,STME
5089,BR-PLN-004,1,01/01/2024,13:31,40,STME
5090,BR-PKC-001,3,01/01/2024,10:21,100,STME
5091,FV-MMJ-013,2,01/01/2024,09:15,75,SOC
5092,MG-PLM-033,2,01/01/2024,10:55,35,SOL
5093,BV-HCH-016,3,01/01/2024,12:51,50,STME
5094,BR-MKC-003,1,01/01/2024,14:53,120,SOL
5095,BV-CSK-015,4,01/01/2024,12:03,85,STME
5096,SN-SCT-026,1,01/01/2024,15:55,60,STME
5097,BV-MSK-019,5,01/01/2024,15:37,60,SOC
5098,SN-PBJ-021,4,01/01/2024,14:09,75,STME
5099,BV-CSK-015,3,01/01/2024,11:30,85,SOL
5100,FV-PPJ-010,4,01/01/2024,09:40,65,STME
5101,BR-PKC-001,1,01/01/2024,10:44,100,SOL
5102,SN-MDS-039,1,01/01/2024,09:31,50,SOL
5103,FV-MMJ-013,5,01/01/2024,15:20,75,SOC
5104,SN-ATK-025,1,01/01/2024,16:38,60,STME
5105,SN-BPB-022,1,01/01/2024,10:51,80,SOC
5106,SN-HCL-038,5,01/01/2024,09:10,85,SOC
5107,BV-CSK-015,4,01/01/2024,16:04,85,SOC
5108,BV-SSK-018,4,01/01/2024,12:39,65,SOL
5109,BV-CSK-015,1,01/01/2024,12:40,85,STME
5110,MG-PLM-033,4,01/01/2024,14:29,35,SOL
5111,BR-AKC-002,1,01/01/2024,12:05,100,SOL
5112,BR-MKC-003,2,01/01/2024,10:12,120,STME
5113,SN-HCL-038,3,01/01/2024,09:31,85,STME
5114,SN-HCL-038,4,01/01/2024,15:43,85,SOC
5115,BV-MSK-019,2,01/01/2024,16:20,60,SOC
5116,SN-CPB-023,1,01/01/2024,15:46,95,SOC
5117,BR-PLN-004,1,01/01/2024,13:04,40,SOC
5118,SN-SCT-026,5,01/01/2024,16:54,60,SOL
5119,MG-MOM-036,5,01/01/2024,12:07,55,SOC
5120,BR-PLN-004,1,01/01/2024,12:10,40,SOC
5121,BR-PLN-004,3,01/01/2024,10:13,40,STME
5122,FV-MMJ-013,1,01/01/2024,10:06,75,SOC
5123,BR-MKC-003,2,01/01/2024,13:07,120,SOL
5124,BR-PKC-001,3,01/01/2024,12:01,100,SOL
5125,BR-MKC-003,5,01/01/2024,14:16,120,STME
5126,BV-TEA-027,4,01/01/2024,12:02,20,SOL
5127,MG-MOM-036,2,01/01/2024,11:37,55,SOC
5128,SN-VPV-037,3,01/01/2024,13:47,40,STME
5129,SN-CPB-023,5,01/01/2024,13:10,95,SOC
5130,SN-CBT-024,5,01/01/2024,15:44,100,STME
5131,BR-LPN-005,2,01/01/2024,15:05,60,SOC
5132,MG-POM-035,2,01/01/2024,11:50,45,SOC
5133,SN-SCT-026,3,01/01/2024,11:33,60,SOC
5134,BV-BLC-029,5,01/01/2024,10:15,30,STME
5135,BV-BSK-017,5,01/01/2024,14:58,50,SOL
5136,BR-PLN-004,3,01/01/2024,12:16,40,SOL
5137,BR-GRN-007,3,01/01/2024,11:15,60,SOC
